Sat Jun 10 22:38:44 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq1, epoch0, step: 0, training: 0.1875, loss_tr: 1.71167, loss_t: 1.97767, testing: 0, t2y: 0
seq1, epoch0, step: 10, training: 0.25, loss_tr: 1.67061, loss_t: 1.96609, testing: 0.111111, t2y: 0.666667
seq1, epoch0, step: 20, training: 0.3125, loss_tr: 1.73128, loss_t: 1.98486, testing: 0.222222, t2y: 0.5
seq1, epoch0, step: 30, training: 0.4375, loss_tr: 1.53545, loss_t: 1.74017, testing: 0.388889, t2y: 0.5
seq1, epoch0, step: 40, training: 0.4375, loss_tr: 1.50718, loss_t: 1.45986, testing: 0.5, t2y: 0.833333
seq1, epoch0, step: 50, training: 0.5, loss_tr: 1.28274, loss_t: 1.09538, testing: 0.555556, t2y: 0.833333
seq1, epoch0, step: 60, training: 0.625, loss_tr: 1.27116, loss_t: 0.930427, testing: 0.666667, t2y: 0.833333
seq1, epoch0, step: 70, training: 0.875, loss_tr: 1.05447, loss_t: 0.806409, testing: 0.722222, t2y: 0.833333
seq1, epoch1, step: 80, training: 0.875, loss_tr: 0.832314, loss_t: 0.700782, testing: 0.833333, t2y: 1
seq1, epoch1, step: 90, training: 0.9375, loss_tr: 0.716623, loss_t: 0.687261, testing: 0.833333, t2y: 1
seq1, epoch1, step: 100, training: 0.875, loss_tr: 0.611712, loss_t: 0.668652, testing: 0.777778, t2y: 0.833333
seq1, epoch1, step: 110, training: 0.9375, loss_tr: 0.554936, loss_t: 0.62865, testing: 0.777778, t2y: 1
seq1, epoch1, step: 120, training: 0.8125, loss_tr: 0.485549, loss_t: 0.534224, testing: 0.777778, t2y: 1
seq1, epoch1, step: 130, training: 0.875, loss_tr: 0.455872, loss_t: 0.456126, testing: 0.888889, t2y: 1
seq1, epoch1, step: 140, training: 0.875, loss_tr: 0.470078, loss_t: 0.426199, testing: 0.888889, t2y: 1
seq1, epoch1, step: 150, training: 1, loss_tr: 0.37616, loss_t: 0.386799, testing: 0.888889, t2y: 1
